team,name,rank,skill,value,position,is_captain,team_rank,team_full
BEL,Anna Valkenborg,61,Set,0.09,Libero,0,7,Belgium
BEL,Anna Valkenborg,62,Dig,1.3,Libero,0,7,Belgium
BEL,Britt Herbots,13,Attack,40.67,Outside Hitter,0,7,Belgium
BEL,Britt Herbots,132,Set,0.04,Outside Hitter,0,7,Belgium
BEL,Britt Herbots,25,Dig,1.82,Outside Hitter,0,7,Belgium
BEL,Britt Herbots,52,Block,0.23,Outside Hitter,0,7,Belgium
BEL,Britt Rampelberg,278,Dig,0.02,Libero,0,7,Belgium
BEL,Celine Van Gestel,31,Attack,32.75,Outside Hitter,0,7,Belgium
BEL,Celine Van Gestel,54,Set,0.11,Outside Hitter,0,7,Belgium
BEL,Celine Van Gestel,5,Dig,2.68,Outside Hitter,0,7,Belgium
BEL,Celine Van Gestel,24,Block,0.39,Outside Hitter,0,7,Belgium
BEL,Dominika Sobolska,37,Attack,,Middle Blocker,0,7,Belgium
BEL,Dominika Sobolska,133,Set,0.04,Middle Blocker,0,7,Belgium
BEL,Dominika Sobolska,145,Dig,0.51,Middle Blocker,0,7,Belgium
BEL,Dominika Sobolska,32,Block,0.32,Middle Blocker,0,7,Belgium
BEL,Dominika Strumilo,38,Attack,,Outside Hitter,0,7,Belgium
BEL,Dominika Strumilo,204,Set,,Outside Hitter,0,7,Belgium
BEL,Dominika Strumilo,210,Dig,0.19,Outside Hitter,0,7,Belgium
BEL,Dominika Strumilo,209,Block,0.02,Outside Hitter,0,7,Belgium
BEL,Elise Van Sas,35,Attack,,Setter,0,7,Belgium
BEL,Elise Van Sas,50,Set,0.12,Setter,0,7,Belgium
BEL,Elise Van Sas,252,Dig,0.07,Setter,0,7,Belgium
BEL,Elise Van Sas,208,Block,0.02,Setter,0,7,Belgium
BEL,Ilka Van De Vyver,42,Attack,,Setter,1,7,Belgium
BEL,Ilka Van De Vyver,4,Set,5.04,Setter,1,7,Belgium
BEL,Ilka Van De Vyver,17,Dig,2,Setter,1,7,Belgium
BEL,Ilka Van De Vyver,97,Block,0.14,Setter,1,7,Belgium
BEL,Jodie Guilliams,44,Attack,,Outside Hitter,0,7,Belgium
BEL,Jodie Guilliams,55,Set,0.11,Outside Hitter,0,7,Belgium
BEL,Jodie Guilliams,33,Dig,1.72,Outside Hitter,0,7,Belgium
BEL,Jodie Guilliams,210,Block,0.02,Outside Hitter,0,7,Belgium
BEL,Jutta Van De Vyver,40,Attack,,Setter,0,7,Belgium
BEL,Jutta Van De Vyver,43,Set,0.26,Setter,0,7,Belgium
BEL,Jutta Van De Vyver,211,Dig,0.19,Setter,0,7,Belgium
BEL,Jutta Van De Vyver,218,Block,,Setter,0,7,Belgium
BEL,Kaja Grobelna,25,Attack,36.09,Opposite Spiker,0,7,Belgium
BEL,Kaja Grobelna,102,Set,0.05,Opposite Spiker,0,7,Belgium
BEL,Kaja Grobelna,47,Dig,1.46,Opposite Spiker,0,7,Belgium
BEL,Kaja Grobelna,28,Block,0.35,Opposite Spiker,0,7,Belgium
BEL,Karolina Goliat,41,Attack,,Opposite Spiker,0,7,Belgium
BEL,Karolina Goliat,205,Set,,Opposite Spiker,0,7,Belgium
BEL,Karolina Goliat,204,Dig,0.23,Opposite Spiker,0,7,Belgium
BEL,Karolina Goliat,185,Block,0.04,Opposite Spiker,0,7,Belgium
BEL,Manon Stragier,45,Attack,,Outside Hitter,0,7,Belgium
BEL,Manon Stragier,206,Set,,Outside Hitter,0,7,Belgium
BEL,Manon Stragier,239,Dig,0.11,Outside Hitter,0,7,Belgium
BEL,Manon Stragier,219,Block,,Outside Hitter,0,7,Belgium
BEL,Marlies Janssens,39,Attack,,Middle Blocker,0,7,Belgium
BEL,Marlies Janssens,103,Set,0.05,Middle Blocker,0,7,Belgium
BEL,Marlies Janssens,114,Dig,0.72,Middle Blocker,0,7,Belgium
BEL,Marlies Janssens,10,Block,0.51,Middle Blocker,0,7,Belgium
BEL,Nathalie Lemmens,36,Attack,,Middle Blocker,0,7,Belgium
BEL,Nathalie Lemmens,175,Set,0.02,Middle Blocker,0,7,Belgium
BEL,Nathalie Lemmens,263,Dig,0.04,Middle Blocker,0,7,Belgium
BEL,Nathalie Lemmens,143,Block,0.07,Middle Blocker,0,7,Belgium
BEL,Silke Van Avermaet,43,Attack,,Middle Blocker,0,7,Belgium
BEL,Silke Van Avermaet,176,Set,0.02,Middle Blocker,0,7,Belgium
BEL,Silke Van Avermaet,205,Dig,0.23,Middle Blocker,0,7,Belgium
BEL,Silke Van Avermaet,98,Block,0.14,Middle Blocker,0,7,Belgium
BRA,Amanda Francisco,53,Attack,,Outside Hitter,0,3,Brazil
BRA,Amanda Francisco,116,Set,0.04,Outside Hitter,0,3,Brazil
BRA,Amanda Francisco,74,Dig,1.05,Outside Hitter,0,3,Brazil
BRA,Amanda Francisco,131,Block,0.08,Outside Hitter,0,3,Brazil
BRA,Ana Beatriz Correa,55,Attack,,Middle Blocker,0,3,Brazil
BRA,Ana Beatriz Correa,78,Set,0.07,Middle Blocker,0,3,Brazil
BRA,Ana Beatriz Correa,107,Dig,0.78,Middle Blocker,0,3,Brazil
BRA,Ana Beatriz Correa,2,Block,0.7,Middle Blocker,0,3,Brazil
BRA,Ana Carolina Da Silva,54,Attack,,Middle Blocker,0,3,Brazil
BRA,Ana Carolina Da Silva,208,Set,,Middle Blocker,0,3,Brazil
BRA,Ana Carolina Da Silva,283,Dig,0.01,Middle Blocker,0,3,Brazil
BRA,Ana Carolina Da Silva,198,Block,0.03,Middle Blocker,0,3,Brazil
BRA,Ana Paula Borgo Bedani Guedes,15,Attack,38.7,Opposite Spiker,0,3,Brazil
BRA,Ana Paula Borgo Bedani Guedes,198,Set,0.01,Opposite Spiker,0,3,Brazil
BRA,Ana Paula Borgo Bedani Guedes,90,Dig,0.92,Opposite Spiker,0,3,Brazil
BRA,Ana Paula Borgo Bedani Guedes,65,Block,0.19,Opposite Spiker,0,3,Brazil
BRA,Gabriela Braga Guimaraes,5,Attack,43.9,Outside Hitter,0,3,Brazil
BRA,Gabriela Braga Guimaraes,152,Set,0.03,Outside Hitter,0,3,Brazil
BRA,Gabriela Braga Guimaraes,20,Dig,1.97,Outside Hitter,0,3,Brazil
BRA,Gabriela Braga Guimaraes,22,Block,0.4,Outside Hitter,0,3,Brazil
BRA,Julia Isabelle Bergmann,49,Attack,,Outside Hitter,0,3,Brazil
BRA,Julia Isabelle Bergmann,199,Set,0.01,Outside Hitter,0,3,Brazil
BRA,Julia Isabelle Bergmann,253,Dig,0.07,Outside Hitter,0,3,Brazil
BRA,Julia Isabelle Bergmann,216,Block,0.01,Outside Hitter,0,3,Brazil
BRA,Lara Nobre Cardoso G Filomeno,48,Attack,,Middle Blocker,0,3,Brazil
